COLLEGE,BRANCH,CATEGORIES,Cutoff_2019,Cutoff_2020,Cutoff_2021,Cutoff_2022,Cutoff_2023,Cutoff_2024
K L E Dr. M S Sheshagiri College of Engineering and Technology,EC Electronics,SCG,1749,12426,0,5158,0,0
K L E Dr. M S Sheshagiri College of Engineering and Technology,EC Electronics,GMR,965,0,0,1973,0,4622
K L E Dr. M S Sheshagiri College of Engineering and Technology,EC Electronics,SCR,0,0,0,0,0,0
K L E Dr. M S Sheshagiri College of Engineering and Technology,EC Electronics,STG,0,0,0,2207,0,0
K L E Dr. M S Sheshagiri College of Engineering and Technology,EE Electrical,2AG,2437,2192,0,1189,0,0
K L E Dr. M S Sheshagiri College of Engineering and Technology,EE Electrical,GM,1738,1649,0,1097,0,0
K L E Dr. M S Sheshagiri College of Engineering and Technology,EE Electrical,SCG,3654,4549,0,2409,0,0
K L E Dr. M S Sheshagiri College of Engineering and Technology,EE Electrical,GMR,0,0,0,0,0,0
K L E Dr. M S Sheshagiri College of Engineering and Technology,EE Electrical,SCR,0,0,0,5404,0,0
K L E Dr. M S Sheshagiri College of Engineering and Technology,EE Electrical,STG,0,0,0,0,0,0
K L E Dr. M S Sheshagiri College of Engineering and Technology,ME Mechanical,2AG,1163,1122,0,2718,0,0
K L E Dr. M S Sheshagiri College of Engineering and Technology,ME Mechanical,GM,788,862,11373,2321,11591,4862
K L E Dr. M S Sheshagiri College of Engineering and Technology,ME Mechanical,SCG,1491,1020,0,5182,0,11551
K L E Dr. M S Sheshagiri College of Engineering and Technology,ME Mechanical,GMR,977,869,0,5649,0,0
K L E Dr. M S Sheshagiri College of Engineering and Technology,ME Mechanical,SCR,0,0,0,0,0,0
K L E Dr. M S Sheshagiri College of Engineering and Technology,ME Mechanical,STG,4181,0,0,0,0,0
K.L.S. Gogte Institute of Technology,AI Artificial Intelligence,2AG,0,0,0,0,0,0
K.L.S. Gogte Institute of Technology,AI Artificial Intelligence,GM,0,0,0,0,0,0
K.L.S. Gogte Institute of Technology,AI Artificial Intelligence,SCG,0,0,0,0,0,0
K.L.S. Gogte Institute of Technology,AI Artificial Intelligence,GMR,0,0,0,0,0,0
K.L.S. Gogte Institute of Technology,AI Artificial Intelligence,SCR,0,0,0,0,0,0
K.L.S. Gogte Institute of Technology,AI Artificial Intelligence,STG,0,0,0,0,0,0
K.L.S. Gogte Institute of Technology,CE Civil,2AG,1125,660,2108,2328,1342,3039
K.L.S. Gogte Institute of Technology,CE Civil,GM,366,507,352,300,847,1120
K.L.S. Gogte Institute of Technology,CE Civil,SCG,482,1236,863,2868,1203,3946
K.L.S. Gogte Institute of Technology,CE Civil,GMR,0,0,0,0,1280,3699
K.L.S. Gogte Institute of Technology,CE Civil,SCR,4188,0,0,0,6587,0
K.L.S. Gogte Institute of Technology,CE Civil,STG,0,0,0,0,11192,0
K.L.S. Gogte Institute of Technology,CS Computers,2AG,1283,1710,1344,598,561,938
K.L.S. Gogte Institute of Technology,CS Computers,GM,1147,730,342,260,104,789
K.L.S. Gogte Institute of Technology,CS Computers,SCG,2977,4225,2637,902,1708,3515
K.L.S. Gogte Institute of Technology,CS Computers,GMR,1394,1149,1500,824,185,2287
K.L.S. Gogte Institute of Technology,CS Computers,SCR,0,0,0,0,0,0
